Date,Value
10/1/2014,338.321014
11/1/2014,378.046997
12/1/2014,320.192993
1/1/2015,217.464005
2/1/2015,254.263
3/1/2015,244.223999
4/1/2015,236.145004
5/1/2015,230.190002
6/1/2015,263.071991
7/1/2015,284.649994
8/1/2015,230.056
9/1/2015,236.059998
10/1/2015,314.165985
11/1/2015,377.321014
12/1/2015,430.566986
1/1/2016,368.766998
2/1/2016,437.696991
3/1/2016,416.729004
4/1/2016,448.317993
5/1/2016,531.385986
6/1/2016,673.336975
7/1/2016,624.68103
8/1/2016,575.471985
9/1/2016,609.734985
10/1/2016,700.971985
11/1/2016,745.690979
12/1/2016,963.742981
1/1/2017,970.403015
2/1/2017,1179.969971
3/1/2017,1071.790039
4/1/2017,1347.890015
5/1/2017,2286.409912
6/1/2017,2480.840088
7/1/2017,2875.340088
8/1/2017,4703.390137
9/1/2017,4338.709961
10/1/2017,6468.399902
11/1/2017,10233.59961
12/1/2017,14156.40039
1/1/2018,10221.09961
2/1/2018,10397.90039
3/1/2018,6973.529785
4/1/2018,9240.549805
5/1/2018,7494.169922
6/1/2018,6404
7/1/2018,7780.439941
8/1/2018,7037.580078
9/1/2018,6625.560059
10/1/2018,6317.609863
11/1/2018,4017.268555
12/1/2018,3742.700439
1/1/2019,3457.792725
2/1/2019,3854.7854
3/1/2019,4105.404297
4/1/2019,5350.726563
5/1/2019,8574.501953
6/1/2019,10817.15527
7/1/2019,10085.62793
8/1/2019,9630.664063
9/1/2019,8293.868164
10/1/2019,9199.584961
11/1/2019,7569.629883
12/1/2019,7193.599121
1/1/2020,9350.529297
2/1/2020,8599.508789
3/1/2020,6438.644531
4/1/2020,8658.553711
5/1/2020,9461.058594
6/1/2020,9137.993164
7/1/2020,11323.4668
8/1/2020,11680.82031
9/1/2020,10784.49121
10/1/2020,13780.99512
11/1/2020,19625.83594
12/1/2020,29001.7207
1/1/2021,33114.35938
2/1/2021,45137.76953
3/1/2021,58918.83203
4/1/2021,57750.17578
5/1/2021,37332.85547
6/1/2021,35040.83594
7/1/2021,41626.19531
8/1/2021,47166.6875
9/1/2021,43790.89453
10/1/2021,61318.95703
11/1/2021,57005.42578
12/1/2021,46306.44531
1/1/2022,38483.125
2/1/2022,43193.23438
3/1/2022,45538.67578
4/1/2022,37714.875
5/1/2022,31792.31055
6/1/2022,30467.48828
