Date,Value
2/1/2015,41.139
3/1/2015,38.259998
4/1/2015,41.360001
5/1/2015,40.029999
6/1/2015,39.470001
7/1/2015,34.470001
8/1/2015,34.490002
9/1/2015,32.200001
10/1/2015,32.990002
11/1/2015,30.469999
12/1/2015,28.440001
1/1/2016,26.695
2/1/2016,27.32
3/1/2016,28.85
4/1/2016,32.279999
5/1/2016,31.9
6/1/2016,32.82
7/1/2016,31.290001
8/1/2016,31.280001
9/1/2016,32.630001
10/1/2016,32.459999
11/1/2016,33.290001
12/1/2016,34.290001
1/1/2017,34.759998
2/1/2017,34.450001
3/1/2017,33.540001
4/1/2017,33.220001
5/1/2017,32.790001
6/1/2017,32.59
7/1/2017,34.139999
8/1/2017,34.009998
9/1/2017,34.84
10/1/2017,35.959999
11/1/2017,36.5
12/1/2017,36.34
1/1/2018,37.880001
2/1/2018,36.41
3/1/2018,36.919998
4/1/2018,38.41
5/1/2018,39.279999
6/1/2018,39.060001
7/1/2018,38.669998
8/1/2018,38.18
9/1/2018,38.93
10/1/2018,37.049999
11/1/2018,35.099998
12/1/2018,30.49
1/1/2019,32.189999
2/1/2019,32.84
3/1/2019,33.07
4/1/2019,33.16
5/1/2019,31.059999
6/1/2019,32.700001
7/1/2019,32.453999
8/1/2019,30.84
9/1/2019,31.540001
10/1/2019,31.780001
11/1/2019,31.937
12/1/2019,32.908001
1/1/2020,30.1
2/1/2020,27.93
3/1/2020,22.450001
4/1/2020,22.049999
5/1/2020,23.42
6/1/2020,23.749001
7/1/2020,24.950001
8/1/2020,25.940001
9/1/2020,24.965
10/1/2020,24.18
11/1/2020,25.879999
12/1/2020,26.67
1/1/2021,27.540001
2/1/2021,30.299999
3/1/2021,29.92
4/1/2021,32.130001
5/1/2021,33.189999
6/1/2021,34.5
7/1/2021,34.849998
8/1/2021,34.43
9/1/2021,35.84
10/1/2021,37.459999
11/1/2021,34.110001
12/1/2021,30.879999
1/1/2022,33.459999
2/1/2022,36.380001
3/1/2022,40.049999
4/1/2022,41.549999
5/1/2022,43.599998
6/1/2022,45.209999
