Date,Value
12/1/1990,1383.099976
1/1/1991,1434.300049
2/1/1991,1578.699951
3/1/1991,1649.400024
4/1/1991,1659.5
5/1/1991,1740.800049
6/1/1991,1664.300049
7/1/1991,1727.199951
8/1/1991,1736.599976
9/1/1991,1664.699951
10/1/1991,1683.900024
11/1/1991,1622.599976
12/1/1991,1670.099976
1/1/1992,1753.5
2/1/1992,1840.599976
3/1/1992,1837.199951
4/1/1992,1880.099976
5/1/1992,1920.599976
6/1/1992,1854.800049
7/1/1992,1798.099976
8/1/1992,1751.599976
9/1/1992,1877.199951
10/1/1992,1911.099976
11/1/1992,1931.199951
12/1/1992,2107
1/1/1993,2091.100098
2/1/1993,2099.399902
3/1/1993,2190.300049
4/1/1993,2129.699951
5/1/1993,2270.699951
6/1/1993,2376.699951
7/1/1993,2400.899902
8/1/1993,2490.199951
9/1/1993,2473.100098
10/1/1993,2723.199951
11/1/1993,2738.5
12/1/1993,2957.600098
1/1/1994,3178.399902
2/1/1994,2888.199951
3/1/1994,2794.800049
4/1/1994,2736.300049
5/1/1994,2722.899902
6/1/1994,2608.800049
7/1/1994,2579.5
8/1/1994,2645.600098
9/1/1994,2534.399902
10/1/1994,2506.5
11/1/1994,2594.899902
12/1/1994,2628.800049
1/1/1995,2536.899902
2/1/1995,2600.399902
3/1/1995,2508.899902
4/1/1995,2597.199951
5/1/1995,2786.399902
6/1/1995,2825.300049
7/1/1995,2826.800049
8/1/1995,2908.800049
9/1/1995,3014.800049
10/1/1995,3108.199951
11/1/1995,3251.600098
12/1/1995,3297.699951
1/1/1996,3248.699951
2/1/1996,3354.800049
3/1/1996,3646.5
4/1/1996,3651
5/1/1996,3556.100098
6/1/1996,3732.899902
7/1/1996,3494.399902
8/1/1996,3646.300049
9/1/1996,3736.399902
10/1/1996,3725.300049
11/1/1996,3902.5
12/1/1996,3942.199951
1/1/1997,4272.200195
2/1/1997,4487.600098
3/1/1997,4659.200195
4/1/1997,4897.600098
5/1/1997,5041.600098
6/1/1997,5620.600098
7/1/1997,5898.200195
8/1/1997,5216.700195
9/1/1997,5673.600098
10/1/1997,5467.200195
11/1/1997,5775.899902
12/1/1997,6265.5
1/1/1998,6582.600098
2/1/1998,7153.100098
3/1/1998,7585.5
4/1/1998,7401.399902
5/1/1998,7656.100098
6/1/1998,7882
7/1/1998,8239.5
8/1/1998,6679.399902
9/1/1998,5760.399902
10/1/1998,6550.600098
11/1/1998,7083.100098
12/1/1998,7160.700195
1/1/1999,7201.200195
2/1/1999,7063.799805
3/1/1999,7130.200195
4/1/1999,7335.5
5/1/1999,6911.600098
6/1/1999,6908.899902
7/1/1999,6887.399902
8/1/1999,7008.799805
9/1/1999,6907.399902
10/1/1999,7160.299805
11/1/1999,7399.700195
12/1/1999,7570.100098
1/1/2000,6894.700195
2/1/2000,6910.100098
3/1/2000,7428.100098
4/1/2000,7427.799805
5/1/2000,7754
6/1/2000,7761.600098
7/1/2000,8023.200195
8/1/2000,8219.900391
9/1/2000,7713.299805
10/1/2000,7977.5
11/1/2000,7981.899902
12/1/2000,8135.399902
1/1/2001,8057.399902
2/1/2001,7701.799805
3/1/2001,7167.799805
4/1/2001,7327.200195
5/1/2001,7487.600098
6/1/2001,7240.200195
7/1/2001,6847.299805
8/1/2001,6582.399902
9/1/2001,6014.200195
10/1/2001,6081
11/1/2001,6237
12/1/2001,6417.799805
1/1/2002,6237.299805
2/1/2002,6352.799805
3/1/2002,6655.200195
4/1/2002,6557.600098
5/1/2002,6574.799805
6/1/2002,5979.700195
7/1/2002,5196.700195
8/1/2002,5230.5
9/1/2002,4783
10/1/2002,4949.100098
11/1/2002,5117.5
12/1/2002,4630.799805
1/1/2003,4422.5
2/1/2003,4148.200195
3/1/2003,4085.600098
4/1/2003,4542.700195
5/1/2003,4630.799805
6/1/2003,4813.700195
7/1/2003,5079.100098
8/1/2003,5124.200195
9/1/2003,5043.5
10/1/2003,5211.399902
11/1/2003,5317.5
12/1/2003,5487.799805
1/1/2004,5736.399902
2/1/2004,5798.399902
3/1/2004,5618.600098
4/1/2004,5774.399902
5/1/2004,5627.100098
6/1/2004,5619.100098
7/1/2004,5547.200195
8/1/2004,5421.700195
9/1/2004,5465.299805
10/1/2004,5363.399902
11/1/2004,5444.200195
12/1/2004,5693.200195
1/1/2005,5771.399902
2/1/2005,5931.299805
3/1/2005,5929.700195
4/1/2005,5870.799805
5/1/2005,6127.200195
6/1/2005,6253.100098
7/1/2005,6600.899902
8/1/2005,6517.200195
9/1/2005,6898.899902
10/1/2005,7036.600098
11/1/2005,7407.5
12/1/2005,7583.899902
1/1/2006,7810.899902
2/1/2006,7892.600098
3/1/2006,8023.299805
4/1/2006,8047.299805
5/1/2006,7604.399902
6/1/2006,7652.100098
7/1/2006,7941.799805
8/1/2006,8168
9/1/2006,8425.900391
10/1/2006,8569.700195
11/1/2006,8484.599609
12/1/2006,8785.700195
1/1/2007,9135.099609
2/1/2007,8789.700195
3/1/2007,8977
4/1/2007,9428.299805
5/1/2007,9450.799805
6/1/2007,9209.400391
7/1/2007,8885
8/1/2007,8881.5
9/1/2007,8933.5
10/1/2007,9019.599609
11/1/2007,8828.400391
12/1/2007,8484.5
1/1/2008,7670.399902
2/1/2008,7533.899902
3/1/2008,7224.299805
4/1/2008,7529
5/1/2008,7511.299805
6/1/2008,6958.509766
7/1/2008,7141.209961
8/1/2008,7238.740234
9/1/2008,6654.890137
10/1/2008,6153.209961
11/1/2008,5816.600098
12/1/2008,5534.529785
1/1/2009,5290.049805
2/1/2009,4690.669922
3/1/2009,4927.430176
4/1/2009,5225.919922
5/1/2009,5349.740234
6/1/2009,5403.970215
7/1/2009,5950.689941
8/1/2009,6217.120117
9/1/2009,6323.180176
10/1/2009,6285.759766
11/1/2009,6260.950195
12/1/2009,6545.910156
1/1/2010,6440.720215
2/1/2010,6710.990234
3/1/2010,6873.370117
4/1/2010,6616.819824
5/1/2010,6312.600098
6/1/2010,6128.060059
7/1/2010,6200.779785
8/1/2010,6180.890137
9/1/2010,6296.330078
10/1/2010,6472.22998
11/1/2010,6312.430176
12/1/2010,6436.040039
1/1/2011,6479.149902
2/1/2011,6610.439941
3/1/2011,6357.549805
4/1/2011,6539.700195
5/1/2011,6554.709961
6/1/2011,6187.069824
7/1/2011,5783.350098
8/1/2011,5528.52002
9/1/2011,5531.740234
10/1/2011,5731.27002
11/1/2011,5652.310059
12/1/2011,5936.22998
1/1/2012,5970.490234
2/1/2012,6109.930176
3/1/2012,6235.509766
4/1/2012,6096.339844
5/1/2012,5849.899902
6/1/2012,6066.859863
7/1/2012,6399.27002
8/1/2012,6388.009766
9/1/2012,6495.879883
10/1/2012,6595.129883
11/1/2012,6820.600098
12/1/2012,6822.439941
1/1/2013,7390.859863
2/1/2013,7593.669922
3/1/2013,7813.669922
4/1/2013,7906.209961
5/1/2013,7947.009766
6/1/2013,7683.040039
7/1/2013,7820.430176
8/1/2013,7745.970215
9/1/2013,8022.600098
10/1/2013,8234.290039
11/1/2013,8264.200195
12/1/2013,8202.980469
1/1/2014,8191.330078
2/1/2014,8475.330078
3/1/2014,8453.820313
4/1/2014,8476.660156
5/1/2014,8674.519531
6/1/2014,8554.519531
7/1/2014,8410.269531
8/1/2014,8658.969727
9/1/2014,8835.139648
10/1/2014,8837.780273
11/1/2014,9150.459961
12/1/2014,8983.370117
1/1/2015,8385.129883
2/1/2015,9014.530273
3/1/2015,9128.980469
4/1/2015,9077.120117
5/1/2015,9237.790039
6/1/2015,8780.910156
7/1/2015,9428.169922
8/1/2015,8824.55957
9/1/2015,8513.410156
10/1/2015,8938.650391
11/1/2015,8993.099609
12/1/2015,8818.089844
1/1/2016,8319.80957
2/1/2016,7843.629883
3/1/2016,7807.890137
4/1/2016,7960.850098
5/1/2016,8216.419922
6/1/2016,8020.149902
7/1/2016,8127.200195
8/1/2016,8202.129883
9/1/2016,8139.009766
10/1/2016,7827.740234
11/1/2016,7875.189941
12/1/2016,8219.870117
1/1/2017,8291.69043
2/1/2017,8545.80957
3/1/2017,8658.889648
4/1/2017,8812.669922
5/1/2017,9016.639648
6/1/2017,8906.889648
7/1/2017,9055
