Date,Value
2017/06/01,1.45
2017/06/02,1.42
2017/06/05,1.45
2017/06/06,1.42
2017/06/07,1.45
2017/06/08,1.47
2017/06/09,1.5
2017/06/12,1.5
2017/06/13,1.51
2017/06/14,1.48
2017/06/15,1.49
2017/06/16,1.48
2017/06/19,1.52
2017/06/20,1.5
2017/06/21,1.5
2017/06/22,1.48
2017/06/23,1.48
2017/06/26,1.48
2017/06/27,1.53
2017/06/28,1.51
2017/06/29,1.53
2017/06/30,1.55
2017/07/03,1.6
2017/07/05,1.59
2017/07/06,1.6
2017/07/07,1.6
2017/07/10,1.59
2017/07/11,1.57
2017/07/12,1.53
2017/07/13,1.55
2017/07/14,1.54
2017/07/17,1.53
2017/07/18,1.52
2017/07/19,1.52
2017/07/20,1.51
2017/07/21,1.5
2017/07/24,1.53
2017/07/25,1.56
2017/07/26,1.5
2017/07/27,1.52
2017/07/28,1.51
2017/07/31,1.51
2017/08/01,1.5
2017/08/02,1.52
2017/08/03,1.49
2017/08/04,1.51
2017/08/07,1.52
2017/08/08,1.53
2017/08/09,1.5
2017/08/10,1.49
2017/08/11,1.43
2017/08/14,1.48
2017/08/15,1.51
2017/08/16,1.49
2017/08/17,1.46
2017/08/18,1.47
2017/08/21,1.46
2017/08/22,1.48
2017/08/23,1.45
2017/08/24,1.47
2017/08/25,1.47
2017/08/28,1.46
2017/08/29,1.43
2017/08/30,1.44
2017/08/31,1.44
2017/09/01,1.46
2017/09/05,1.4
2017/09/06,1.42
2017/09/07,1.38
2017/09/08,1.39
2017/09/11,1.44
2017/09/12,1.46
2017/09/13,1.48
2017/09/14,1.5
2017/09/15,1.53
2017/09/18,1.54
2017/09/19,1.55
2017/09/20,1.6
2017/09/21,1.59
2017/09/22,1.58
2017/09/25,1.56
2017/09/26,1.57
2017/09/27,1.6
2017/09/28,1.59
2017/09/29,1.62
2017/10/02,1.63
2017/10/03,1.62
2017/10/04,1.62
2017/10/05,1.63
2017/10/06,1.66
