Date,Value
1/1/2008,22.889999
2/1/2008,22.525
3/1/2008,29.125
4/1/2008,29.25
5/1/2008,27.525
6/1/2008,27.85
7/1/2008,31.75
8/1/2008,29.745001
9/1/2008,39.785
10/1/2008,61
11/1/2008,34.424999
12/1/2008,35.775002
1/1/2009,32.235001
2/1/2009,24.5
3/1/2009,30.700001
4/1/2009,31.74
5/1/2009,29.775
6/1/2009,34.150002
7/1/2009,36.27
8/1/2009,19.450001
9/1/2009,16.615
10/1/2009,16.41
11/1/2009,12.475
12/1/2009,11.175
1/1/2010,8.9
2/1/2010,8.8
3/1/2010,9.8
4/1/2010,9.6
5/1/2010,8.525
6/1/2010,8.575
7/1/2010,9.55
8/1/2010,9.125
9/1/2010,11.05
10/1/2010,13.37
11/1/2010,13.625
12/1/2010,14.275
1/1/2011,15.29
2/1/2011,15.175
3/1/2011,15.35
4/1/2011,17.559999
5/1/2011,16.77
6/1/2011,18.415001
7/1/2011,18.34
8/1/2011,15.05
9/1/2011,12.395
10/1/2011,15.675
11/1/2011,15.125
12/1/2011,13.345
1/1/2012,16.26
2/1/2012,16.940001
3/1/2012,16.155001
4/1/2012,17.135
5/1/2012,15.065
6/1/2012,15.035
7/1/2012,15.925
8/1/2012,16.285
9/1/2012,16.75
10/1/2012,19.549999
11/1/2012,20.485001
12/1/2012,21.735001
1/1/2013,23.1765
2/1/2013,20.65
3/1/2013,18.895
4/1/2013,19.4
5/1/2013,21.360001
6/1/2013,19.49
7/1/2013,22.879999
8/1/2013,22.209999
9/1/2013,22.674999
10/1/2013,24.5
11/1/2013,26.014999
12/1/2013,27.35
1/1/2014,24.215
2/1/2014,25.48
3/1/2014,25.389999
4/1/2014,26.73
5/1/2014,26.26
6/1/2014,25.924999
7/1/2014,23.145
8/1/2014,22.485001
9/1/2014,20.641001
10/1/2014,21.295
11/1/2014,22.613001
12/1/2014,21.530001
1/1/2015,22.264999
2/1/2015,25.1
3/1/2015,25.625
4/1/2015,25.41
5/1/2015,24.215
6/1/2015,23.155001
7/1/2015,20.174999
8/1/2015,18.620001
9/1/2015,12.05
10/1/2015,13.9
11/1/2015,14.885
12/1/2015,15.4875
1/1/2016,13.21
2/1/2016,13.71
3/1/2016,14.49
4/1/2016,15.96
5/1/2016,15.435
6/1/2016,13.525
7/1/2016,14.79
8/1/2016,14.505
9/1/2016,14.455
10/1/2016,14.8725
11/1/2016,13.665
12/1/2016,14.3425
1/1/2017,16.045
2/1/2017,15.175
3/1/2017,14.995
4/1/2017,16.08
5/1/2017,15.71
6/1/2017,15.5625
7/1/2017,15.725
8/1/2017,15.47
9/1/2017,16.9025
10/1/2017,18.745001
11/1/2017,20.76
12/1/2017,20.217501
1/1/2018,22.219999
2/1/2018,19.879999
3/1/2018,20.02
4/1/2018,20.315001
5/1/2018,18.605
6/1/2018,16.5
7/1/2018,17.280001
8/1/2018,16
9/1/2018,17.290001
10/1/2018,16.43
11/1/2018,16.584999
12/1/2018,15.6
1/1/2019,17.370001
2/1/2019,17.610001
3/1/2019,16.24
4/1/2019,17.875
5/1/2019,15.78
6/1/2019,17.1
7/1/2019,16.969999
8/1/2019,16.25
9/1/2019,17.129999
10/1/2019,18.940001
11/1/2019,19.004999
12/1/2019,19.290001
1/1/2020,18.280001
2/1/2020,16.809999
3/1/2020,13.1
4/1/2020,14.94
5/1/2020,15.78
6/1/2020,16.174999
7/1/2020,15.62
8/1/2020,17.93
9/1/2020,17.74
10/1/2020,15.57
11/1/2020,18.559999
12/1/2020,20.85
1/1/2021,21.129999
2/1/2021,23.417999
3/1/2021,36.299999
4/1/2021,31.709999
5/1/2021,36.165001
6/1/2021,32.880001
7/1/2021,33.189999
8/1/2021,33.43
9/1/2021,31.120001
10/1/2021,32.610001
11/1/2021,27.85
12/1/2021,29.200001
1/1/2022,28.74
2/1/2022,25.790001
3/1/2022,24.67
4/1/2022,21.58
5/1/2022,22.469999
6/1/2022,22.52
6/3/2022,22.52
